Rank,ID,Background,Hair,Skin,Eyes,Body,Head,Accessory,Glasses,Hands,Total
112,3527,1.081637909,0.3896103896,5.363984674,4.061895551,1.526162791,0.8585922638,0,0,1.604118993,14.88600257
113,4094,3.602058319,1.020408163,1.678657074,3.856749311,0.5208333333,4.191950464,0,0,0,14.87065667
114,1714,0.2907983106,0.9345794393,5.363984674,4.061895551,0.6696428571,2.095975232,0,0,1.428668478,14.84554454
115,1585,4.713804714,0.4444444444,0.8641975309,6.94214876,0.7056451613,1.16824849,0,0,0,14.8384891
116,4038,0.9090909091,0.3896103896,0.8641975309,10.31941032,1.286764706,0,1.065625,0,0,14.83469885
117,1513,0.4294917681,0.3896103896,5.363984674,5.454545455,0.8203125,0.9020652898,0,0.7484737485,0.7143342391,14.82281806
118,3558,0.4294917681,0.3896103896,0.8641975309,0.2169421488,1.458333333,0.7831116252,0,9.430769231,1.157402312,14.72985834
119,573,0.9090909091,1.41509434,1.859229748,6.94214876,1.458333333,1.397316821,0,0,0.7433722163,14.72458613
120,1790,0.9026434558,1.477832512,5.363984674,5.454545455,0.800304878,0,0,0,0.6305847076,14.62989568
121,3135,9.79020979,0.4195804196,0.4474272931,0.5362614913,1.682692308,1.096356275,0,0,0.6305847076,14.60311228
122,2875,9.79020979,1.020408163,0.4474272931,0.2169421488,1.458333333,1.018045113,0,0,0.6305847076,14.58195055
123,1220,0.9090909091,0.3896103896,0.4410838059,6.94214876,0.8306962025,0,0.6959183673,0,4.354037267,14.5625857
124,1196,0.9026434558,0.3896103896,0.4410838059,10.31941032,1.526162791,0.9020652898,0,0,0,14.48097605
125,4,9.79020979,1.477832512,0.4474272931,0.2169421488,1.640625,0.8797920728,0,0,0,14.45282882
126,1354,0.4294917681,1.41509434,5.363984674,3.856749311,0.5561440678,2.159489633,0,0,0.6531055901,14.43405938
127,3891,1.80102916,1.41509434,5.363984674,4.061895551,1.339285714,0.4510326449,0,0,0,14.43232208
128,3053,3.235747304,1.41509434,2.405498282,1.928374656,0.5208333333,4.191950464,0,0,0.6979754398,14.39547382
129,3011,0.9090909091,0.9345794393,5.363984674,3.743315508,1.526162791,0.4510326449,0,0.7037887486,0.7199589182,14.35191363
130,3032,0.9090909091,0.4195804196,1.218450827,0.5362614913,0.4825367647,0.6090868196,0,9.430769231,0.7433722163,14.34914868
131,34,1.55210643,1.020408163,1.218450827,6.94214876,0.7720588235,2.036090226,0,0,0.7950850662,14.3363483
132,279,9.79020979,0.4195804196,0.4474272931,1.100340582,0.8306962025,0.4510326449,0,0.5750469043,0.7199589182,14.33429275
133,3444,0.9026434558,0.4444444444,5.363984674,3.856749311,1.3671875,0.7831116252,0,0,1.604118993,14.32224
134,3811,0.4294917681,0.4444444444,0.4474272931,10.31941032,1.286764706,0.6598440546,0,0,0.7199589182,14.3073415
135,1885,1.081637909,3.846153846,1.678657074,5.454545455,0.5009541985,0.6598440546,1.082539683,0,0,14.30433222
136,2194,0.9026434558,2.586206897,5.363984674,3.743315508,0.5561440678,0.4510326449,0.6959183673,0,0,14.29924561
137,541,0.9026434558,0.4195804196,0.8641975309,0.2169421488,0.9242957746,0.8483709273,0,9.430769231,0.6055283616,14.21232785
138,1145,0.4294917681,0.3896103896,5.363984674,5.454545455,0.8306962025,0.7501385042,0,0.2694505495,0.7199589182,14.20787646
139,3978,0.2907983106,0.3896103896,0.4474272931,10.31941032,0.6628787879,2.095975232,0,0,0,14.20610033
140,11,0.4294917681,1.020408163,0.4410838059,0.2169421488,0.8306962025,1.827260459,0,9.430769231,0,14.19665178
141,3441,0.9090909091,0.4195804196,1.678657074,3.743315508,4.1015625,2.095975232,0,0.7037887486,0.534706331,14.18667672
142,1466,0.4294917681,1.020408163,5.363984674,5.454545455,1.458333333,0.4510326449,0,0,0,14.17779604
143,882,9.79020979,0.9036144578,1.218450827,0.2169421488,1.262019231,0.7831116252,0,0,0,14.17434808
144,3151,0.9026434558,3.846153846,1.678657074,5.454545455,1.3671875,0.8585922638,0,0,0,14.10777959
145,2570,0.4294917681,0.4444444444,2.405498282,10.31941032,0.5009541985,0,0,0,0,14.09979901
146,2799,3.602058319,0.4195804196,1.678657074,3.856749311,0.6628787879,2.036090226,0,1.209072978,0.6305847076,14.09567182
147,1760,0.4294917681,0.9036144578,1.218450827,6.94214876,1.640625,2.226973684,0,0,0.7199589182,14.08126342
148,4063,0.9090909091,0.4444444444,1.275045537,10.31941032,0.5561440678,0.5524275806,0,0,0,14.05656286
149,1260,9.79020979,1.020408163,0.4474272931,1.100340582,1.682692308,0,0,0,0,14.04107814
150,23,1.80102916,0.9036144578,5.363984674,5.454545455,0.5009541985,0,0,0,0,14.02412794
151,440,1.80102916,0.4195804196,0.4474272931,10.31941032,0.6433823529,0.3872997712,0,0,0,14.01812932
152,1877,9.79020979,0.9036144578,0.8641975309,0.2169421488,0.9242957746,0.7501385042,0,0,0.534706331,13.98410454
153,3996,0.9090909091,0.3896103896,5.363984674,3.743315508,1.773648649,1.781578947,0,0,0,13.96122908
154,276,9.79020979,0.3896103896,1.859229748,0.5259203606,0.5009541985,0.3872997712,0,0.5016366612,0,13.95486092
155,1635,0.9090909091,0.4444444444,0.4410838059,10.31941032,0.6628787879,1.16824849,0,0,0,13.94515676
156,856,3.602058319,0.9036144578,1.678657074,5.454545455,0.6628787879,1.018045113,0,0,0.6055283616,13.92532757
157,1808,0.2907983106,1.477832512,5.363984674,3.743315508,1.822916667,0,0.682,0,0.534706331,13.915554
158,1953,0.9090909091,0.4195804196,5.363984674,3.743315508,1.682692308,0.7501385042,0.6959183673,0.322971549,0,13.88769224
159,2876,9.79020979,1.298701299,0.4474272931,0.2169421488,1.458333333,0.6598440546,0,0,0,13.87145792
160,962,0.4294917681,0.9345794393,5.363984674,3.856749311,1.682692308,0.8797920728,0,0,0.7199589182,13.86724849
161,711,9.79020979,0.4195804196,1.275045537,0.2169421488,1.396276596,0.7501385042,0,0,0,13.848193
162,3,0.2907983106,1.477832512,5.363984674,3.856749311,0.6628787879,2.159489633,0,0,0,13.81173323
163,2008,9.79020979,2.586206897,0.4474272931,0.2169421488,0.7543103448,0,0,0,0,13.79509647
164,3409,0.9026434558,1.298701299,0.4474272931,6.94214876,1.682692308,0.7501385042,0,0,1.758361204,13.78211282
165,1115,9.79020979,0.3896103896,0.8641975309,0.2169421488,1.526162791,0,0,0,0.9052948773,13.69241753
166,3170,0.2907983106,1.020408163,0.8641975309,10.31941032,0.6628787879,0,0,0,0.534706331,13.69239944
167,3431,0.9026434558,0.4195804196,5.363984674,3.856749311,0.7543103448,1.781578947,0,0.5750469043,0,13.65389406
168,1608,0.9090909091,1.298701299,5.363984674,3.743315508,0.7457386364,0.8585922638,0,0,0.7199589182,13.63938221
169,2546,0.2907983106,0.4195804196,0.8641975309,10.31941032,0.8306962025,0.8797920728,0,0,0,13.60447486
170,385,3.235747304,0.3896103896,1.678657074,5.454545455,1.396276596,0.630647415,0,0,0.7433722163,13.52885645
171,2496,1.80102916,0.9036144578,5.363984674,4.061895551,0.5009541985,0.8797920728,0,0,0,13.51127011
172,992,0.4294917681,0.4444444444,0.4474272931,10.31941032,0.7056451613,0,0,0,1.157402312,13.5038213
173,2143,3.602058319,0.4444444444,1.859229748,0.2169421488,0.5561440678,1.063629222,0.6959183673,0.7037887486,4.354037267,13.49619233
174,2951,0.9026434558,1.020408163,5.363984674,4.061895551,1.426630435,0,0,0,0.7199589182,13.4955212
175,3106,3.602058319,0.4444444444,0.8641975309,6.94214876,1.640625,0,0,0,0,13.49347405
176,3047,0.9090909091,0.3896103896,0.4410838059,0.2169421488,0.9242957746,0.4510326449,0,9.430769231,0.6979754398,13.46080034
177,1816,0.9090909091,0.4195804196,5.363984674,3.743315508,0.8522727273,0.8483709273,0,0,1.30621118,13.44282635
178,437,1.55210643,0.4444444444,0.4474272931,0.2169421488,0.5009541985,0.8483709273,0,9.430769231,0,13.44101467
179,2906,4.713804714,0.9345794393,0.4474272931,1.100340582,1.3671875,4.191950464,0.682,0,0,13.43728999
180,3755,1.80102916,0.9036144578,1.218450827,6.94214876,1.458333333,1.096356275,0,0,0,13.41993281
181,1520,9.79020979,1.020408163,0.8641975309,0.2169421488,0.7720588235,0.7501385042,0,0,0,13.41395496
182,2574,0.2907983106,0.4195804196,5.363984674,5.454545455,0.5514705882,0.6090868196,0,0,0.7199589182,13.40942519
183,3879,0.9026434558,2.205882353,0.4474272931,0.5362614913,3.453947368,0.3872997712,1.082539683,0,4.354037267,13.37003868
184,15,0.4294917681,0.3896103896,1.218450827,0.5259203606,0.6628787879,0.7055758207,0,9.430769231,0,13.36269718
185,905,3.602058319,1.41509434,1.678657074,4.061895551,0.8203125,1.781578947,0,0,0,13.35959673
186,1524,0.9026434558,0.4444444444,5.363984674,5.454545455,0.800304878,0.3872997712,0,0,0,13.35322268
187,1929,0.4294917681,1.477832512,5.363984674,3.856749311,1.526162791,0,0.6959183673,0,0,13.35013942
188,904,1.55210643,1.298701299,1.678657074,5.454545455,1.822916667,0,0,0,1.498930862,13.30585779
189,3919,9.79020979,0.4444444444,0.4474272931,1.928374656,0.6628787879,0,0,0,0,13.27333497
190,3561,0.2907983106,2.586206897,1.859229748,0.2169421488,1.5625,0.8483709273,0,5.894230769,0,13.2582788
191,3608,3.602058319,2.586206897,0.4474272931,0.5362614913,1.3671875,0,0,4.715384615,0,13.25452612
192,3468,0.9090909091,0.4195804196,0.4410838059,0.5259203606,1.526162791,0,0,9.430769231,0,13.25260752
193,965,0.9090909091,1.41509434,1.678657074,5.454545455,1.458333333,0.9020652898,0,0.2694505495,1.157402312,13.24463926
194,3358,0.2907983106,0.9345794393,0.8641975309,10.31941032,0.8203125,0,0,0,0,13.2292981
195,3378,0.2907983106,0.4444444444,5.363984674,4.061895551,2.1875,0,0,0,0.8708074534,13.21943043
196,3696,0.9090909091,1.298701299,5.363984674,3.743315508,1.262019231,0.6362781955,0,0,0,13.21338982
197,2250,0.4294917681,1.020408163,5.363984674,3.856749311,0.7630813953,0,0,0,1.758361204,13.19207652
198,3234,0.9090909091,0.3896103896,0.4474272931,10.31941032,0.5912162162,0,0,0,0.534706331,13.19146146
199,3124,0.2907983106,0.3896103896,5.363984674,4.061895551,1.3671875,1.397316821,0,0.2694505495,0,13.1402438
200,1600,0.9026434558,0.4444444444,0.4410838059,0.5259203606,0.9114583333,0.4510326449,0,9.430769231,0,13.10735228
201,1135,0.4294917681,0.3896103896,5.363984674,3.856749311,1.286764706,0,0,0,1.758361204,13.08496205
202,1654,9.79020979,0.4444444444,0.4474272931,0.2169421488,0.8203125,0.6362781955,0,0,0.7199589182,13.07557329
203,2019,0.9090909091,0.4444444444,1.859229748,6.94214876,1.682692308,1.207850134,0,0,0,13.0454563
204,1841,1.80102916,3.846153846,1.678657074,3.743315508,1.339285714,0.6090868196,0,0,0,13.01752812
205,3787,0.4294917681,3.157894737,1.678657074,5.454545455,0.6628787879,0.9762076424,0,0,0.6531055901,13.01278105
206,1059,1.081637909,0.4195804196,5.363984674,4.061895551,0.6696428571,0,0.6959183673,0,0.7199589182,13.0126187
207,1618,0.9090909091,0.9036144578,2.405498282,6.94214876,0.5514705882,0.630647415,0,0,0.6531055901,12.995576
208,3354,0.2907983106,0.9036144578,0.4410838059,0.5259203606,1.396276596,0,0,9.430769231,0,12.98846276
209,2754,1.081637909,2.205882353,1.678657074,4.061895551,1.339285714,0.9020652898,1.065625,0,0.6531055901,12.98815448
210,1807,0.2907983106,3.157894737,1.678657074,5.454545455,0.8989726027,0,0,0,1.498930862,12.97979904
211,2211,3.602058319,0.3896103896,1.275045537,1.100340582,1.526162791,2.639376218,0,0.6736263736,1.758361204,12.96458141
212,46,3.602058319,3.157894737,2.405498282,1.928374656,1.526162791,0,0,0.322971549,0,12.94296033
213,219,1.081637909,0.4444444444,1.275045537,6.94214876,1.988636364,1.207850134,0,0,0,12.93976315
214,2027,0.2907983106,0.4444444444,5.363984674,4.061895551,0.5561440678,0.6090868196,0,0,1.604118993,12.93047286
215,567,9.79020979,0.4444444444,0.8641975309,0.2169421488,0.8306962025,0.7831116252,0,0,0,12.92960174
216,2407,0.2907983106,1.477832512,5.363984674,3.856749311,0.4825367647,0.8483709273,0,0,0.6055283616,12.92580086
217,1532,0.2907983106,0.9345794393,0.4410838059,10.31941032,0.9375,0,0,0,0,12.92337188
218,1950,1.081637909,1.41509434,2.405498282,1.928374656,1.286764706,0.630647415,0,0,4.156126482,12.90414379
219,2616,0.2907983106,3.157894737,0.4410838059,0.5362614913,1.640625,0.6598440546,0,1.813609467,4.354037267,12.89415413
220,3888,0.4294917681,0.3896103896,0.4410838059,10.31941032,1.286764706,0,0,0,0,12.86636099
221,957,0.9090909091,0.9036144578,5.363984674,3.856749311,0.7543103448,1.063629222,0,0,0,12.85137892
222,242,0.2907983106,1.477832512,2.405498282,1.928374656,1.988636364,4.191950464,0,0,0.534706331,12.81779692
223,1514,4.713804714,0.4195804196,1.678657074,3.743315508,0.5009541985,0,0,0,1.758361204,12.81467312
224,2161,3.235747304,3.157894737,1.678657074,4.061895551,0.6433823529,0,0,0,0,12.77757702
225,3114,0.9090909091,2.586206897,2.405498282,1.928374656,1.262019231,2.639376218,0,0.322971549,0.7143342391,12.76787198
226,2625,1.80102916,2.205882353,1.678657074,5.454545455,1.600609756,0,0,0,0,12.7407238
227,741,3.602058319,0.9345794393,1.678657074,4.061895551,1.286764706,1.16824849,0,0,0,12.73220358
228,2850,3.602058319,0.9345794393,1.678657074,4.061895551,0.7720588235,0.3872997712,0,0.5750469043,0.7199589182,12.7315548
229,3991,0.4294917681,0.4444444444,1.678657074,4.061895551,0.6981382979,1.063629222,0,0,4.354037267,12.73029363
230,2054,0.2907983106,0.4195804196,5.363984674,4.061895551,2.1875,0.3872997712,0,0,0,12.71105873
231,1838,0.4294917681,0.3896103896,5.363984674,3.856749311,1.458333333,0.4510326449,0,0,0.7433722163,12.69257434
232,1459,0.4294917681,0.3896103896,1.678657074,5.454545455,4.1015625,0.6090868196,0,0,0,12.66295401
233,3601,0.2907983106,0.4444444444,5.363984674,4.061895551,1.640625,0.8585922638,0,0,0,12.66034024
234,1787,4.713804714,0.9345794393,1.275045537,1.100340582,1.458333333,2.375438596,0,0,0.7950850662,12.65262727
235,4068,0.4294917681,0.3896103896,1.678657074,3.856749311,0.9114583333,1.113486842,4.2625,0,0,12.64195372
236,2257,4.713804714,3.846153846,1.218450827,0.2169421488,0.8522727273,0,1.082539683,0.6736263736,0,12.60379032
